HEADER DO ARQUIVO;;;;;;;;;;
SEQ;Posição;;Nº Dig;Nº Dec;Form;Campo / Descrição / Conteúdo;;;;
;De;Até;;;;;;;;
01.0;1;3;3;-;Num;Controle¹;Banco;;;Código do Sicoob na Compensação: '756'
02.0;4;7;4;-;Num;;Lote;;;Lote de Serviço: '0000'
03.0;8;8;1;-;Num;;Registro;;;Tipo de Registro: '0'
04.0;9;17;9;-;Alfa;CNAB;;;;Uso Exclusivo FEBRABAN / CNAB: Preencher com espaços em branco
05.0;18;18;1;-;Num;Empresa²;Inscrição;Tipo;;"Tipo de Inscrição da Empresa:
'1'  =  CPF
'2'  =  CGC / CNPJ"
06.0;19;32;14;-;Num;;;Número;;Número de Inscrição da Empresa
07.0;33;52;20;-;Alfa;;Convênio;;;Código do Convênio no Sicoob: Preencher com espaços em branco
08.0;53;57;5;-;Num;;Conta Corrente³;Agência;Código;Prefixo da Cooperativa: vide planilha 'Contracapa' deste arquivo
09.0;58;58;1;-;Alfa;;;;DV;Dígito Verificador do Prefixo: vide planilha 'Contracapa' deste arquivo
10.0;59;70;12;-;Num;;;Conta;Número;Conta Corrente: vide planilha 'Contracapa' deste arquivo
11.0;71;71;1;-;Alfa;;;;DV;Dígito Verificador da Conta: vide planilha 'Contracapa' deste arquivo
12.0;72;72;1;-;Alfa;;;DV;;Dígito Verificador da Ag/Conta: Preencher com zeros
13.0;73;102;30;-;Alfa;;Nome;;;Nome da Empresa
14.0;103;132;30;-;Alfa;Nome do Banco;;;;Nome do Banco: SICOOB
15.0;133;142;10;-;Alfa;CNAB ;;;;Uso Exclusivo FEBRABAN / CNAB: Preencher com espaços em branco
16.0;143;143;1;-;Num;Arquivo;Código;;;Código Remessa / Retorno: '1'
17.0;144;151;8;-;Num;;Data de Geração;;;Data de Geração do Arquivo
18.0;152;157;6;-;Num;;Hora de Geração;;;Hora de Geração do Arquivo
19.0;158;163;6;-;Num;;Seqüência (NSA);;;Número Seqüencial do Arquivo: Número seqüencial adotado e controlado pelo responsável pela geração do arquivo para ordenar a disposição dos arquivos encaminhados. Evoluir um número seqüencial a cada header de arquivo.
20.0;164;166;3;-;Num;;Layout do Arquivo;;;No da Versão do Layout do Arquivo: '081'
21.0;167;171;5;-;Num;;Densidade;;;Densidade de Gravação do Arquivo: '00000'
;;;;;;;;;;
22.0;172;191;20;-;Alfa;Reservado Banco;;;;Para Uso Reservado do Banco: Preencher com espaços em branco
23.0;192;211;20;-;Alfa;Reservado Empresa;;;;Para Uso Reservado da Empresa: Preencher com espaços em branco
24.0;212;240;29;-;Alfa;CNAB;;;;Uso Exclusivo FEBRABAN / CNAB: Preencher com espaços em branco
¹;Controle - Banco origem ou destino do arquivo.;;;;;;;;;
²;Empresa - Beneficiário que firmou o convênio de prestação de serviços com o Sicoob;;;;;;;;;
